Lat,Lon,Depth,Depth (KNNImputer),Depth (RF)
2.5687499999999943,4.427083333333329,-3835,-3830.56,-3826.01
2.5854166666666742,4.427083333333329,-3829,-3829.77,-3829.6
2.6645833333333258,4.427083333333329,-3789,-3792.4,-3799.78
2.677083333333343,4.427083333333329,-3806,-3811.08,-3807.54
2.697916666666657,4.427083333333329,-3795,-3797.77,-3799.08
2.71875,4.427083333333329,-3791,-3793.48,-3791.72
2.777083333333337,4.427083333333329,-3760,-3763.46,-3763.53
2.785416666666663,4.427083333333329,-3790,-3788.82,-3803.28
2.82708333333332,4.427083333333329,-3776,-3775.28,-3775.89
2.84375,4.427083333333329,-3770,-3769.82,-3769.91
2.864583333333343,4.427083333333329,-3760,-3759.78,-3760.98
2.88958333333332,4.427083333333329,-3756,-3754.31,-3755.22
2.95208333333332,4.427083333333329,-3689,-3691.46,-3688.68
2.9604166666666742,4.427083333333329,-3675,-3674.83,-3675.25
2.9979166666666686,4.427083333333329,-3629,-3629.0,-3629.58
3.07708333333332,4.427083333333329,-3533,-3531.7,-3533.22
3.1479166666666742,4.427083333333329,-3511,-3509.05,-3509.85
3.160416666666663,4.427083333333329,-3513,-3512.21,-3511.24
3.2270833333333258,4.427083333333329,-3495,-3492.96,-3495.55
3.2437500000000057,4.427083333333329,-3499,-3496.65,-3499.31
3.2562499999999943,4.427083333333329,-3498,-3495.78,-3498.5
3.3354166666666742,4.427083333333329,-3402,-3397.39,-3391.6
3.3812499999999943,4.427083333333329,-3209,-3201.71,-3215.7
3.3979166666666742,4.427083333333329,-3217,-3208.06,-3212.69
3.410416666666663,4.427083333333329,-3232,-3225.11,-3228.22
3.46875,4.427083333333329,-2913,-2917.24,-2905.91
3.53125,4.427083333333329,-2881,-2871.84,-2870.52
3.5604166666666686,4.427083333333329,-2906,-2902.62,-2902.19
3.6229166666666686,4.427083333333329,-2921,-2920.22,-2919.53
2.59375,4.431250000000006,-3853,-3854.05,-3853.85
2.6020833333333258,4.431250000000006,-3875,-3876.14,-3875.7
2.6229166666666686,4.431250000000006,-3855,-3858.05,-3854.93
2.6270833333333314,4.431250000000006,-3838,-3832.21,-3836.79
2.660416666666663,4.431250000000006,-3788,-3782.78,-3784.19
2.6645833333333258,4.431250000000006,-3798,-3799.43,-3807.1
2.7104166666666742,4.431250000000006,-3793,-3793.53,-3793.79
2.714583333333337,4.431250000000006,-3793,-3793.06,-3793.78
2.7979166666666515,4.431250000000006,-3783,-3783.85,-3784.7
2.8062500000000057,4.431250000000006,-3778,-3779.76,-3778.6
2.8104166666666686,4.431250000000006,-3776,-3776.73,-3776.15
2.82708333333332,4.431250000000006,-3772,-3773.69,-3773.17
2.8604166666666515,4.431250000000006,-3759,-3760.88,-3760.46
2.88958333333332,4.431250000000006,-3754,-3753.47,-3753.35
2.8979166666666742,4.431250000000006,-3751,-3751.29,-3751.45
2.95208333333332,4.431250000000006,-3690,-3690.98,-3688.67
2.9604166666666742,4.431250000000006,-3675,-3677.79,-3675.22
2.964583333333337,4.431250000000006,-3669,-3667.68,-3668.91
2.972916666666663,4.431250000000006,-3658,-3656.52,-3657.41
2.9854166666666515,4.431250000000006,-3641,-3639.73,-3640.56
3.1104166666666515,4.431250000000006,-3522,-3522.51,-3523.11
3.1187500000000057,4.431250000000006,-3520,-3520.51,-3520.39
3.1729166666666515,4.431250000000006,-3520,-3518.88,-3518.73
3.1812500000000057,4.431250000000006,-3514,-3513.0,-3512.22
3.222916666666663,4.431250000000006,-3491,-3490.73,-3489.62
3.2312499999999886,4.431250000000006,-3492,-3493.18,-3492.05
3.2437500000000057,4.431250000000006,-3495,-3494.28,-3494.1
